type,mass,x,y,z,x_offset,y_offset,z_offset,quat_x,quat_y,quat_z,quat_w,num_extra_masses
pelvis,3.234114,0.0762,0.021336,0,0.0762,-0.01905,0,0.5,0.5,0.5,0.5,2
motor,0.53,0,-0.05715,0
motor,0.53,0,0.05715,0
hip_pitch,1.592109,-0.005842,0,0.032258,-0.0635,0,0.0762,0.5,0.5,0.5,0.5,0
hip_roll,5.7016561,0,0.005842,0.052578,0,0.07938,0,0.5,0.5,0.5,0.5,2
motor,0.53,0.01905,0,0
motor,0.53,0.06254,0,-0.1715
hip_yaw,5.034875,0.017018,0.032766,0.0635,0,0.1841,0.0635,0.5,0.5,0.5,0.5,1
motor,0.53,0,-0.01905,-0.2286
knee,5.7560872,0,-0.046482,0.03429,0,0.0762,0.0381,0,0,0.707,0.707,1
motor,0.53,0,0.031775,-0.1524
foot_pitch,1.714579,0,0,0.085344,0,0,0.0889,0.5,-0.5,-0.5,0.5,0
foot_roll,2.512902,0,0.035052,-0.053848,0,0.0762,-0.06985,0.5,0.5,-0.5,-0.5,1
motor,0.53,0.01905,0,0
